,Score
Hungrybox,(4137.432540083679+0j)
Leffen,(2568.64798286096+0j)
Zain,(2361.911104532755+0j)
Mang0,(2234.306824542574+0j)
Wizzrobe,(1910.6535122984328+0j)
Axe,(1858.663366969876+0j)
Plup,(954.2766573638886+0j)
iBDW,(933.5748497403363+0j)
aMSa,(885.3100804557334+0j)
S2J,(737.8153151077336+0j)
Swedish Delight,(535.3231526778765+0j)
Lucky,(509.62416931173004+0j)
SFAT,(499.83925032636853+0j)
n0ne,(456.9539966539396+0j)
Fiction,(408.87843980070005+0j)
Hax$,(339.49767979982096+0j)
Ginger,(323.34078745708933+0j)
Mew2King,(300.04131667185374+0j)
ChuDat,(282.3543373513023+0j)
moky,(253.40609899678398+0j)
PewPewU,(214.51451969454422+0j)
Spark,(193.678900867639+0j)
lloD,(162.63168403004687+0j)
Albert,(159.80687810895404+0j)
Trif,(145.7534261320618+0j)
cliché,(141.91885094966744+0j)
Professor Pro,(137.93553777644055+0j)
Falgoat,(136.53689517442993+0j)
Shroomed,(132.79325963858352+0j)
KJH,(120.79597127028961+0j)
Gahtzu,(100.52815332961647+0j)
Nut,(90.71434973965637+0j)
Rishi,(89.18072487863061+0j)
Captain Faceroll,(83.49852905859399+0j)
Kalamazhu,(75.45094378176552+0j)
ARMY,(70.41745578850737+0j)
Duck,(68.56402121295437+0j)
Magi,(59.848520746574934+0j)
HugS,(59.813679595877204+0j)
Bananas,(59.47221484734261+0j)
Kalvar,(56.93855388002981+0j)
Colbol,(52.0446963189143+0j)
htwa,(51.714536805458735+0j)
Michael,(50.3022315701302+0j)
FatGoku,(47.101471800132565+0j)
Jakenshaken,(45.62287863985681+0j)
Joshman,(45.064530988785094+0j)
Wally,(44.13739346025298+0j)
A Rookie,(42.05315899075655+0j)
2saint,(42.0362864074973+0j)
billybopeep,(41.41835018093758+0j)
Franz,(38.84501971365653+0j)
Forrest,(38.46869622710782+0j)
Amida,(35.1078308472693+0j)
Kels,(33.85065614128478+0j)
Blea Gelo,(33.78676201798173+0j)
Kevbot,(31.64023942611926+0j)
Frenzy,(30.010026751953603+0j)
PudgyPanda,(29.144213851903622+0j)
Nicki,(28.20237172888045+0j)
Pricent,(28.186590324671208+0j)
Sinbad,(27.89862967883793+0j)
Medz,(27.703023080450144+0j)
Ryobeat,(27.569224389765154+0j)
Nickemwit,(26.177110284500504+0j)
MoG,(25.033214812169128+0j)
Mustache Massacre,(24.858603356691106+0j)
Jerry,(24.53900930186373+0j)
Voo,(24.52984638848241+0j)
YungWaff,(24.07282246053535+0j)
Umarth,(24.03597126707784+0j)
Timi,(23.45343865778153+0j)
Setchi,(23.07755957713099+0j)
Ses,(22.561136494245417+0j)
K-12,(22.5325025609909+0j)
Aura,(22.509442861845905+0j)
ycz6,(22.218824863679885+0j)
Santi,(22.093722160098622+0j)
Skittles,(20.352338943571436+0j)
vortex,(19.93911464751222+0j)
Pleeba,(19.807096868876606+0j)
Yort,(19.76840696680471+0j)
Tai,(19.663246771774972+0j)
Fatman.spam,(19.657170649349254+0j)
King Momo,(19.543625661891568+0j)
JSalt,(19.284813058593812+0j)
Squid,(18.95788354727972+0j)
Dai,(18.587397998496204+0j)
Wevans,(18.582270705198354+0j)
Syrox,(18.37817520454392+0j)
RedBlaze,(18.310625858381634+0j)
Bimbo,(18.14536946642255+0j)
dronin,(18.081024901103348+0j)
Kins0,(17.968851394058255+0j)
Xardov,(17.965306815585297+0j)
Android 0,(17.930739101074856+0j)
Rikzz,(17.72320928674463+0j)
voff3,(17.645525556171492+0j)
Malmortis,(17.562274972011604+0j)
Pleasantries,(17.4037438361727+0j)
Seretur,(17.378602348754132+0j)
Zealot,(17.30050928205411+0j)
nope,(17.257486576578096+0j)
Fat Tino,(17.196736984940355+0j)
Stango,(17.116852540762437+0j)
SDJ,(17.0459824004682+0j)
GBlade,(16.94468982723607+0j)
Overtriforce,(16.81257422083329+0j)
Slox,(16.628336035773998+0j)
23,(16.315230401275816+0j)
Laudandus,(15.891554429834278+0j)
