,0
Hungrybox,2080.86923
Mang0,1203.388586
Zain,1168.917446
Axe,1072.451822
Leffen,1007.552358
Wizzrobe,885.4184312
aMSa,515.2825526
S2J,473.5968875
iBDW,455.426545
Plup,403.6979498
n0ne,345.3168501
SFAT,335.9937624
Lucky,290.8327205
Mew2King,274.0088875
Fiction,231.5295913
Swedish Delight,218.0877364
Ginger,201.0008745
Hax$,189.9450735
ChuDat,181.2167188
moky,176.9445071
Albert,159.7893029
PewPewU,142.6219644
Trif,141.3276333
Spark,133.9299865
Shroomed,122.2027918
ARMY,87.33902349
Nut,82.99087104
KJH,79.55341558
lloD,79.21107771
Captain Faceroll,76.88621135
Magi,73.22046715
Professor Pro,68.09108639
Gahtzu,65.64261176
cliché,62.43298871
Falgoat,61.787491
Schythed,59.00816744
Kalamazhu,53.65173669
Arsenals,53.65089122
Rishi,53.55569282
PudgyPanda,52.12318692
billybopeep,48.82905541
Duck,47.47411784
Jakenshaken,45.66771577
Kalvar,45.6406616
HugS,44.84966472
Bananas,40.18687532
Kevin Maples,37.34063009
Michael,36.48144642
Westballz,36.2382625
2saint,35.0051347
Overtriforce,34.94636089
FatGoku,33.21450213
Franz,32.33333664
Forrest,32.28225619
Yort,31.80702009
Wally,30.79899668
Synnett,28.38202503
Jerry,27.20393116
Frenzy,27.02506843
AndyBoy,27.02405861
Ryobeat,26.90199951
TheRealThing,26.72159636
MoG,26.09403606
Nicki,25.25169137
Aura,25.04733314
King Momo,25.00292246
Voo,24.12980747
htwa,23.60082009
Colbol,22.51429959
Bones,20.98351721
A Rookie,20.76188292
Darkatma,20.30196465
Kels,19.99390769
Sinbad,19.8247932
Cami,19.39128778
Umarth,18.95387111
prof,18.14460751
Joshman,17.99564142
Lad,17.85269912
Amida,17.54385844
Sharkz,17.50204013
bobby big ballz,17.29443408
Drephen,17.28271101
mikehaze (but on b0xx),16.83517683
Nintendude,16.76363778
Wevans,15.9017832
Mr. F,15.90020363
Kürv,15.85287457
Damian Tyson,15.7326992
Ringler,15.37007064
Joyboy,14.94339323
Tai,14.89194699
Tiramisu,14.60463191
Medz,14.6024682
veganBoyd,13.78063144
SFOP,13.35876725
Kins0,13.25577731
Setchi,13.12829593
Chango,13.02338207
Bimbo,12.9040531
vortex,12.65844091
Kevbot,12.59518759
Blea Gelo,12.54565174
Rikzz,12.46557306
dronin,12.44298266
SDJ,12.43929593
Slox,12.21146502
Pleasantries,12.1601959
K-12,12.1393356
Morsecode762,12.06792833
JSalt,11.99987098
Timi,11.98636872
deft,11.85401168
Wisp,11.75380478
Pricent,11.71629282
nope,11.60525557
Polish,11.46869729
Dai,11.28478274
Pleeba,11.22384934
Santi,11.15019703
Alpha Dash,11.010989
Skittles,10.93856858
raoul,10.88957476
Malmortis,10.67202227
GBlade,10.37415564
voff3,10.36945545
RedBlaze,10.29992085
Guido,10.27614026
23,10.23583408
Rik,10.18039592
JustJoe,10.16710546
shabo,10.02976773
Fout NL,9.793808335
LunarySSF2,9.698014862
YungWaff,9.559634903
Cool Lime,9.488237473
Mustache Massacre,8.876777523
Laudandus,8.564044628
hamyojo,8.497269113
Spud,8.444413406
Seretur,8.390646161
woof woof bark bark,8.289529685
Syrox,8.253133702
Azel,8.199445014
AbsentPage,7.940117978
10QuidShoes,7.845602979
Stango,7.830637899
Zeo,7.822144513
Arcadia,7.77105447
Liberate,7.674714442
Fat Tino,7.508930157
Captain Ezekiel,7.493239778
nebbii,7.464597012
Zealot,7.415073789
lint,7.409441085
Skills,7.342168941
Twotran,7.327145433
4tilt,7.315414828
Fatman.spam,7.278769753
FireflyHI,7.256449574
Sebby,7.223816573
Chillindude,7.193581521
KoDoRiN,7.189650119
Darktooth,7.122268683
42nd,7.081151775
Branspeed,7.077826106
Xardov,7.070061801
RashAttack,7.043333007
Fess,7.040123388
hdhr,6.999285292
Rocky,6.98922063
NintendOrk,6.949145712
Vinodh,6.894288665
prolificjuice,6.875654245
Krudo,6.825682151
Nickemwit,6.733100262
Pipsqueak,6.64149287
CornCobKing,6.584342625
ycz6,6.583361128
dkuo,6.579769926
Squid,6.559668104
Kellner,6.499978047
Russle Steel,6.22154011
Silas,6.1217086
deepz,6.05585503
FF,6.04278214
Niklas2912,6.040039664
Prometheus,6.022509255
Sverre,6.001234717
Knight,5.976286686
Nakamaman,5.869414256
R5,5.828217955
Cactuar,5.819345008
JJM,5.793837896
Parsec,5.774861713
Panda,5.773184295
Harald,5.7266354
Amsah,5.707099645
Quantum,5.655062474
Stuff,5.602388462
Sandy,5.581001789
Alain,5.433295097
Shinobi,5.3427442
Khalid,5.330659826
404Cray,5.208632519
Lord English,5.208399047
Kaeon,5.120144752
Macchupichu,5.077103241
Pisces,5.071288455
Silver,5.067114074
Matteo,5.027500627
mikey,5.013639768
Barraca,4.998218779
Charlon,4.978837027
Peanutphobia,4.916271454
Android 0,4.907463034
Den,4.880843201
Big Money,4.879753133
Travioli,4.856325532
Spare_Parts,4.826053717
Vivi,4.821582578
Jeapie,4.806733184
Ses,4.751324687
JKJ,4.738254739
Emps,4.734491892
Mar,4.680117273
rotisseriedeluxe,4.639929542
Zaf,4.63407141
OG Swaglord,4.63050145
ilovebagelz,4.621723464
techboy,4.601766637
JBash,4.59517944
Hoss Delgado,4.593820491
Ferocitii,4.58329166
Mäjoras,4.523665207
skam,4.492190828
oquinn,4.447941915
Apollo,4.419296502
