,Score
bobby big ballz,(16195.43492740724+0j)
Ginger,(12275.026796551492+0j)
Colbol,(7529.220958528441+0j)
iBDW,(7016.597244041515+0j)
S2J,(5876.307020188299+0j)
Ben,(5539.806344437011+0j)
Gahtzu,(5321.208294888844+0j)
LSD,(5074.137509622091+0j)
n0ne,(4381.724546487385+0j)
Zain,(4196.185104966849+0j)
Michael,(3756.9404181508376+0j)
SFAT,(3649.2497824861202+0j)
Krudo,(3533.2452131470927+0j)
Fiction,(3370.0787854678865+0j)
Hungrybox,(3281.618841290047+0j)
lloD,(3256.9971151531367+0j)
Reeve,(3112.679436830934+0j)
Komodo,(3060.913601407196+0j)
SFOP,(2958.8472044582372+0j)
Aklo,(2919.7796503755553+0j)
Spark,(2788.1583974842533+0j)
FatGoku,(2548.5472143875036+0j)
Lucky,(2383.7223809101556+0j)
Rishi,(2359.673452512346+0j)
Lotfy,(2007.3830330692615+0j)
Drephen,(1988.5728804738046+0j)
KoDoRiN,(1866.5108588031196+0j)
Shroomed,(1798.215692796771+0j)
Bones,(1730.5004080005056+0j)
Android 0,(1684.144662894512+0j)
Mang0,(1635.2150886685838+0j)
Forrest,(1622.056601373425+0j)
Westballz,(1534.9994718359753+0j)
Mot$,(1524.2248638083645+0j)
2saint,(1505.0469615468587+0j)
Dom,(1465.87814875846+0j)
Plup,(1456.8793678386994+0j)
KJH,(1444.019160600857+0j)
Chem,(1430.5416250801925+0j)
Axe,(1405.998571254876+0j)
Wizzrobe,(1344.8624968040904+0j)
Soonsay,(1328.3992755683282+0j)
Polish,(1298.6769929881455+0j)
Bimbo,(1270.3996166055986+0j)
moky,(1205.856427303475+0j)
Just Jason,(1157.4777922912035+0j)
Morsecode762,(1156.3938650326338+0j)
Albert,(1076.3148043446206+0j)
Medz,(1066.132494730931+0j)
Erik,(992.4406091876015+0j)
Slowking,(972.5832295464088+0j)
NOOT,(963.4450530784811+0j)
akir,(955.9073978876692+0j)
Kimchi,(931.7040788119295+0j)
Hax$,(910.887896799671+0j)
BZimm,(847.6396233444073+0j)
Zuppy,(846.4888798213292+0j)
Far!,(845.922397627819+0j)
Professor Pro,(843.1928045443206+0j)
E-tie,(837.5596113329602+0j)
Aura,(823.2471608868025+0j)
Blea Gelo,(812.6870037740796+0j)
SluG,(810.1436149858464+0j)
Smashdaddy,(809.0567014218934+0j)
Kalamazhu,(806.4989434079138+0j)
Juicebox,(784.043865371854+0j)
Kuyashi,(750.2445061102538+0j)
Leffen,(744.5666967418562+0j)
Skerzo,(734.965326570416+0j)
A Rookie,(713.9928278757911+0j)
Golden,(694.4760192757058+0j)
Preeminent,(673.7509463540239+0j)
Kata,(656.4671750611271+0j)
Captain Faceroll,(647.3321833656516+0j)
Furio,(643.3136895731383+0j)
Traplord,(569.0990206500346+0j)
Free Palestine,(568.3372406043557+0j)
Pappi,(558.2226833057864+0j)
MoG,(557.3499555947164+0j)
Kwyet,(552.7342742796923+0j)
Rocky,(552.5446012928812+0j)
PewPewU,(543.2907600909832+0j)
Trif,(541.1154542248205+0j)
Slox,(531.2768257520457+0j)
Magi,(523.1441279576827+0j)
Eddy Mexico,(512.6673000161196+0j)
Nut,(511.78446780924355+0j)
CoolKid,(511.326095580691+0j)
Zamu,(510.93083650484465+0j)
billybopeep,(506.14876348402936+0j)
CrossFitJesus,(501.1136647268821+0j)
Pleasantries,(498.86168828003457+0j)
Fro116,(485.7680967349652+0j)
Amida,(473.348787775353+0j)
Whiskers,(452.22239138078857+0j)
Frenzy,(449.6592306585926+0j)
Joshman,(443.9871370661756+0j)
Answer,(442.8248570756646+0j)
aMSa,(440.7608793993742+0j)
TheSWOOPER,(435.7489985268237+0j)
Kevin Maples,(432.9470226328473+0j)
Unsure,(422.08029295683684+0j)
Blues Clues,(418.67233065255573+0j)
Kuya,(408.81532724164356+0j)
Jflex,(406.1822636950783+0j)
SmallHandsBrian,(391.60811903500496+0j)
Captain Smuckers,(387.1833728503399+0j)
Cannagar,(377.52179159513554+0j)
Cpt Darling,(376.2548474699199+0j)
Amrak,(375.73720076538325+0j)
Warmmer,(375.630665359766+0j)
Darktooth,(372.2698044820741+0j)
Mccloud,(360.23837493256406+0j)
Fable,(354.68845082648625+0j)
Nickemwit,(352.0107812853814+0j)
Ober,(351.72557939817136+0j)
Wally,(351.25763899247545+0j)
DarkHero,(342.6646805913128+0j)
HugS,(331.9719402624229+0j)
R2DLiu,(330.7896481501725+0j)
Neologism,(326.6611901950097+0j)
Chopsteezy,(314.54067984401433+0j)
Churze,(293.32164043461637+0j)
Azel,(292.08945609048584+0j)
Umarth,(284.2593981016512+0j)
Jerry,(283.00838754395113+0j)
Wevans,(281.3298972198013+0j)
Kikoho,(272.85039231521586+0j)
Redd,(271.51388950304397+0j)
AbsentPage,(267.4508876777688+0j)
null,(260.5799126587768+0j)
Panda,(257.0568563329955+0j)
Lengüitas,(241.231602175768+0j)
Rene,(240.53658445933388+0j)
Kürv,(235.02694358384542+0j)
Ryan Ford,(233.94233365779726+0j)
Sirmeris,(231.2552444753951+0j)
Prince F. Abu,(225.58057756340548+0j)
Khalid,(223.0978638997554+0j)
FMB5k,(222.81647023232676+0j)
Squid,(221.16020763389906+0j)
Dimension,(220.01202550580683+0j)
ALP,(217.95666304671718+0j)
404Cray,(212.58406969689327+0j)
Dawson,(212.12887673763635+0j)
Zealot,(207.49477312246438+0j)
Ossify,(205.8859836130035+0j)
Jakenshaken,(204.72463853714106+0j)
Tokage,(202.8331909059001+0j)
Travioli,(199.77680096958568+0j)
Spiff,(193.25245138948122+0j)
Solobattle,(192.9793631485162+0j)
$limChang,(192.39319258094378+0j)
DaBRÜM,(191.97899543390267+0j)
Joyboy,(184.5970764215797+0j)
Thorne,(183.79204952001447+0j)
doby,(183.15165536522483+0j)
BIG KID,(182.0750835698963+0j)
Levingy,(180.69095393117107+0j)
Grab,(174.074284779151+0j)
Heartstrings,(171.8438745645707+0j)
ARMY,(170.79007402155713+0j)
Cob,(167.79532040650784+0j)
Epic Murloc,(167.2729279361012+0j)
prof,(165.30240533160853+0j)
.jpg,(161.04393584679588+0j)
Matteo,(158.7154236767916+0j)
shabo,(155.45301818275726+0j)
KoopaTroopa895,(155.4354060387172+0j)
MINT,(153.77484078648212+0j)
100 Grand,(153.38539320857373+0j)
Pipsqueak,(151.44702886927982+0j)
Tyler Swift,(150.5587316133825+0j)
Ice,(149.18917296993226+0j)
mikehaze (but on b0xx),(147.92125198878045+0j)
JNaut,(142.63635863758037+0j)
Frostbyte,(141.90084888947757+0j)
Tai,(139.6015110585554+0j)
Dusk,(137.6056661690413+0j)
CmG,(137.19615718800225+0j)
Kage,(128.05544132423785+0j)
Sock,(127.5079436678828+0j)
Mekk,(127.46354131527283+0j)
Nogh,(123.42115964165446+0j)
Ryobeat,(121.62555403518127+0j)
Sinbad,(121.4286974740882+0j)
Quaff,(121.15654989841923+0j)
Mew2King,(120.9026769404623+0j)
Makenshi,(120.80255842885899+0j)
Blake,(120.50328270654748+0j)
Rikzz,(119.39714384273061+0j)
Nagy,(119.11667058094476+0j)
Lunar Dusk,(119.09582256756805+0j)
Dacky,(118.85359273173793+0j)
Faust,(116.73727890416649+0j)
deft,(116.08278352420263+0j)
faketaxiyoshi,(116.02262785080588+0j)
Blassy,(115.514562639686+0j)
squible,(113.6960641724618+0j)
Nintendude,(113.29222564022257+0j)
DrLobster,(111.50380635061913+0j)
DontRestMe,(110.83734812529383+0j)
YungWaff,(110.46013233497852+0j)
blargh257,(110.32703972035418+0j)
Calvin,(108.4479141349849+0j)
Billy Boo Bob,(108.19971763196783+0j)
Herrán,(107.57987922745366+0j)
WaffleJesus,(106.63943805559157+0j)
NoFuxGiven,(105.20879245674647+0j)
Swedish Delight,(104.47876692311347+0j)
PikachuvA,(103.80516405319185+0j)
SDJ,(103.61723779475369+0j)
NY Joey,(102.61841480076845+0j)
assassin,(101.24383571998328+0j)
Hydrodynamic,(98.78492140934773+0j)
Isdsar,(97.82239173179406+0j)
Zanya,(97.50711821325523+0j)
mordo,(96.25164138691676+0j)
Jesus,(93.86706435250535+0j)
Cami,(92.77139229492963+0j)
Bladewise,(92.31602186830295+0j)
R&R,(91.716505305679+0j)
Herbmaster James,(89.07683576007226+0j)
Slow,(88.46037367296954+0j)
htwa,(87.74096608989976+0j)
Kins0,(85.72993695557074+0j)
C-bass,(85.43971400205066+0j)
Holiday,(83.72055234444713+0j)
Amsah,(83.24378378929808+0j)
Cilan,(82.35097898401477+0j)
Egg$,(81.5351794196078+0j)
YoungMain,(81.40101579138701+0j)
Prometheus,(80.22463268854187+0j)
Zeo,(80.0213066139906+0j)
Project,(79.68390343705774+0j)
Cum Fox,(79.02954489939404+0j)
Nicki,(78.6123465332404+0j)
DonB,(78.57599799904985+0j)
David,(78.50773820353778+0j)
ReignMC,(77.84150751939018+0j)
PanterA,(77.68290141611118+0j)
Nana,(76.84272679723001+0j)
God's Only Son,(76.69604252917384+0j)
Jmook,(76.10477323231211+0j)
Hunybear,(75.59944671962563+0j)
Kalvar,(74.83421276372502+0j)
Seretur,(73.33296763031043+0j)
hot,(73.20368260589902+0j)
Kevbot,(72.33407294169133+0j)
JCAM,(71.91576417975301+0j)
TheAverageGuy,(71.62389736958109+0j)
Hoborg,(70.66000768016073+0j)
JD,(70.36981730469032+0j)
Voo,(70.04916269138394+0j)
Thexy,(69.88726195707926+0j)
drip,(69.8267834461129+0j)
Foxy Grandpa,(69.3174154823444+0j)
darkwizard123,(69.29834378211419+0j)
Pleeba,(69.09445704067002+0j)
lint,(68.75839953028978+0j)
ModestMajor,(68.60019069848785+0j)
Yu,(67.84497561811199+0j)
th0rn,(67.40438814677316+0j)
HellsingULH,(67.37326002607848+0j)
TheFighter,(66.21645025858585+0j)
Billz,(66.1434124170651+0j)
n3zModGod,(65.45081380182683+0j)
Setchi,(64.87461159850795+0j)
Casper,(64.72017623673929+0j)
MOM!,(63.68417264401663+0j)
Slayer,(63.23922697624696+0j)
Chango,(62.8448331122284+0j)
Lad,(60.51934951431264+0j)
RedBlaze,(60.12554349697673+0j)
Onregon,(59.86020030925205+0j)
Nugget's Dab Pen,(58.24051736014616+0j)
ORLY,(58.12780775583893+0j)
Connor,(57.15499983547214+0j)
Salt,(56.97066961744156+0j)
Louis,(56.26082555566035+0j)
Tempo,(55.765393644058584+0j)
Franz,(55.589887730070814+0j)
TzD,(55.14588823525479+0j)
Nergal,(55.0292976124564+0j)
Typhoon,(54.760638113318464+0j)
Legend,(54.67441557041684+0j)
GG,(54.32183894299812+0j)
Skittles,(53.786430702318484+0j)
Ad,(53.70630513871831+0j)
Vertigo,(53.52766126606275+0j)
Warriorknight,(53.00209569388321+0j)
Dekar,(52.93537524319265+0j)
D,(51.87844834260009+0j)
peab,(51.76189499131665+0j)
Cantus,(51.00210974852885+0j)
Noire,(50.92680139533818+0j)
Gangubai,(50.012322187837924+0j)
Kitcatski,(49.85384665099508+0j)
Pops,(49.342367427972874+0j)
