,Score
bobby big ballz,13635.265273871402
JSalt,9194.728918065297
Pappi,9003.606176457186
Ben,8420.627471318508
Ginger,7735.291067377038
Jflex,7221.223078962769
Aklo,7044.027443180571
Gahtzu,6411.742385363337
Hungrybox,6014.9852969548565
KoDoRiN,5712.118294882363
S2J,5327.458128288643
Drephen,4828.649454955789
Bbatts,4689.870550205615
Zuppy,4599.331521752198
Logan,4479.159887200787
n0ne/ Bond / wizzyfan109,3960.7112832688385
NoFluxes,3941.500841430952
Dawson,3610.4106361463123
Skerzo,3539.129902917856
Zealot,3458.670243463619
Eddy Mexico,3451.5102849075424
SDJ,3388.7006581067994
SFAT,3261.1561716856077
Lucky,3232.5981489741625
Koobie,3123.109738301379
Panda,3118.7254314100046
Salt,3075.987925659566
Lotfy,2943.1460497108824
Michael,2901.6698476091638
Colbol,2880.971109348446
Mot$,2830.040859659013
Slowking,2754.4568306170886
Zamu,2733.569922887628
Bones,2658.0934539769905
SFOP,2639.089715121231
SluG,2575.720524625037
Komodo,2310.3264537505834
Neologism,2281.4228929778274
Warmmer,2270.4172555676387
Smashdaddy,2216.479987519153
Eggy,2191.302837981877
Freezus,2145.930718948907
Medz,2138.8814939674353
Zain,2090.1208731677702
Grab,2054.375694447798
TheSWOOPER,2042.3425202487983
Rocky,2026.6258705395126
Unsure,2012.8211838473471
Travioli,1979.3654385843927
Chem,1918.3268903807466
Hax$,1906.276028338878
Forrest,1888.5903750358298
Polish,1881.2909068099555
FatGoku,1849.5903522286342
Wally,1818.712985270255
2saint,1813.6342146380725
Magi,1734.4910603839191
Fank,1713.6991709718766
htwa,1695.9206667323117
DD,1681.9493272411817
Ober,1675.3814602177245
Suezo,1609.4681695760514
Axe,1605.574556203749
Mekk,1583.8712141126853
Krudo,1563.7793313658333
Khryke,1517.4475023211867
Kata,1515.2860125075636
Akir,1465.4215212116476
Trail,1423.6465465301094
Fiction,1419.2247430044545
Soonsay,1416.1615500312578
404Cray,1344.3199054565428
iBDW,1295.9734602915044
Palpa,1295.5836817728098
Wizzrobe,1293.124497572381
PanterA,1282.146949431586
Jmook,1273.1754004157165
Epoodle,1266.0167504028145
Kürv,1245.244414647604
OkayP.,1215.1849212734958
lloD,1211.819470331772
Quaff,1202.7874884977043
Faust,1193.3303537571705
Dimension,1189.879079076607
Blues Clues,1187.2379336469962
K8A,1176.197664270416
moky,1154.780113137124
Zeeker,1116.208848722262
Albert,1025.3352502147995
MOF,1015.2626080957546
Plup,977.1877664984743
Westballz,936.7155512051794
The Leaf,934.1432163393081
Kuyashi,928.3923689307908
Joey Donuts,923.6428629560563
$limChang,915.3182965319317
NOOT,912.6940690777537
Jamrun,902.6493157582086
LuigigoShard,892.3967751942655
Rei,888.5157149457191
Dacky,881.8245735584658
rabit!,860.3095172445949
Tyler Swift,851.7223335696482
Goosekhan,850.1211681274203
Lukademus,827.4963752915381
Aura,816.7587151747289
JoJo,814.3341809855694
LAG,788.6643024139591
ALP,787.4698216075915
Juicebox,782.6956921508169
Golden,756.8173749689681
Morsecode762,747.3319968071754
Erik,747.2143518053579
Pi#374,746.5027907311735
Fable,742.9919983807043
MOM!,720.072187933451
William,710.8303332661524
Googlyeyed,710.0119447360546
Sodabro,688.040401884449
Maher,681.8664199247703
Steech,672.8473385135803
JCAM,672.6843601195534
DannyPhantom,671.3239237757066
haunter,662.3377944263186
prof,659.602716645487
Typhoon,641.09981155042
Wevans,638.8642014400751
Peachy Keen,633.4338656443565
Prometheus,626.1624180320007
JJM,614.7235287142637
Den,605.9375793755056
Paladin,604.1537916527873
mgmg,601.1093755729219
Faceroll,590.0220544960054
aCID,589.9148010869046
Far!,575.2502135326458
Frenzy,571.1087980058937
Lunar Dusk,569.5083863155052
KJH,566.313204561225
Jank,555.6971411170597
TheRealThing,555.3892838579545
Kingu,554.9248475264378
Android 0,549.3408992829458
Justus,549.0314102144354
Casper,544.2749808390984
Preeminent,539.6508425027492
Just Jason,536.8290395169756
FMB5k,534.2481687076913
Kalamazhu,531.6101740235662
Azel,531.2048511752621
null,529.9891196210086
Younger,524.801921863506
Crow,517.3520034299285
Kikoho,516.4618564249846
Dova,516.2864296692823
Khalas,516.0450906170287
Sharp,514.2722744267585
Drio,511.626111899777
Error,495.72856021540315
KoopaTroopa895,493.5889582723247
Siddward,479.993832877685
Killablue,476.8276491963298
Zion,473.53053342399323
Stone,464.5792085372931
Iifter,464.0956198288163
Flexqz,462.64330547391205
New Guy,460.30011761245976
Whiskers,459.5008985336742
Justin Joe,451.9986181815346
Pleeba,446.22547614763175
CmG,445.49250752512165
Fluid,444.69428639672344
Balloon Day,440.7471297771141
JustJoe,437.72562107653766
Kalvar,437.5822628140186
CeeLew,436.18857133830073
Reeve,436.0233383163777
Trif,423.2353673249883
Fury,422.24243842046576
Excel Zero,421.8306185855264
HPR,421.1924386251315
Blea Gelo,416.60361482084664
Phrigid,412.4785993727253
Mang0,409.2944557345224
DontRestMe,407.9577395487672
Chape,405.06268635321726
Midnight Blue,404.38729754965175
mvlvchi,402.38484107466155
Professor Pro,400.9047305916376
Snap,391.33382886661286
HOBORG,391.24437625197925
Cilan,390.5739919530117
Toast,390.3824746642616
eve,385.1809770489867
DrLobster,382.1803360542243
Zamorita,381.6493283468386
Rishi,380.8819696409739
mintea,378.7077772085215
DarkHero,376.5792751718266
Simmons,375.08631895111967
Jamie,365.15099607554373
Mad Tyro,364.73428536221775
Dope,363.9601737334899
Bimbo,363.2674301335813
essy,363.04006054777625
Q?,361.46895547808117
Solobattle,361.20902336961575
Ryobeat,360.88914093061646
Swedish Delight,360.583377680754
FoxCap,359.46223575568723
SDeems,358.9221997284928
Jada,354.58977618380175
Pilot,351.58892492380807
Sneakywill,348.36982364102414
Seven,347.4456502411737
Panko,347.32423143822257
Gandorf the Purple,340.35323507121694
BZimm,337.5097859284805
Bobby Frizz,336.81633412791064
TPN,336.5715739965708
Chipotle+,335.64016810382464
SloX,333.2984628365464
Captain G,333.0690804117488
gdawg,332.59099402757244
Elliot,332.10842106448115
SuperCuak,327.2825054141613
Bekvin,326.0691908068647
coffee,323.67212736726833
Mike,323.4533807367471
Shroomed,322.47476354713365
Captain Smuckers,318.33508047668874
Elysian,317.9491323147321
Secrets,316.09908727609655
Tommy,312.65463975986404
Levingy,310.92859450266485
abbearv,309.03232769335943
Stiffff,308.9541812925241
Sirmeris,307.6152045972699
Rasen,306.9855594052769
RyGuy,306.56130839121545
Panos,301.3694911614386
Russell,300.6169185625595
Wicked,300.0634474426627
max,297.69038550275894
Ringler,297.52924911346577
Amrak,295.35530248510594
Bagels,290.27837461932154
Nanami (aka PurpleZ),289.75078825927415
Pipsqueak,288.5186884595749
aMSa,286.97622156024903
Sp1nda,286.45667435745224
Egg$,283.5558145387523
gold_dxj,282.84270018011614
Sora/Joshman,282.32595597936484
Churze,280.8340056681333
Inky,279.9748987373089
Mirko,278.5779420030837
ORLY,275.9932676329652
Franz,268.3991329405021
Chrismeister,266.65348093084344
Logos,265.2617612920104
Krupte,264.03336723082907
Cast,263.97358067139925
grownworkingman,263.22716983572155
Blue,261.64167797090454
Matteo,260.7113084023438
Phantom Airline,258.43789306344934
John Llawless,255.9040376763055
Leffen,254.7918244383817
Free Palestine,253.79885957267928
Nicki,253.26663688652934
Asashi,251.7759573193194
Fecfec,251.51668566753534
Aisengobay,251.3587777055764
Husband,250.62424486430547
Alextrer,247.74601720819948
Joyboy,247.00344327896565
Majersk,243.23618407118357
Lengüitas,243.06320226786585
raoul,240.59037413005342
blargh257,240.47650302079268
Franco,239.2338267623378
Kuya,238.5152751994489
Firebolt,236.70069283697222
CAUP,235.8299042856791
Ryan Ford,234.51861267510114
Schnurb,233.9734144357716
Nakamaman,232.3020442240152
rom,231.8105607499752
Prins Esse,225.9040483240844
Latin,225.84902606796788
Voo,225.3832954194541
119Mista,223.58729224866542
Sock,223.00205719801596
Plank,222.9821868269695
Fizzwiggle,221.3034977336377
Saile,220.62700764130153
Rocket,220.43694138845044
Vish,218.5343217826957
SpacePigeon,216.90555601682559
ARMY,215.5886681011814
Chubbles,214.17536313100277
Darrell,213.49834050140433
Jimmy Jockstrap,211.01360956908462
KoopaKev,209.66440210027542
Ice,209.0760538245289
SpiritxReaper,208.94980904753874
Will Pickles,206.37294071289955
Psylo,206.33021280744396
Willy P,205.77291265597643
Ishigami,205.4128886645818
Jah Ridin',205.12173788161383
Kins0,200.73349576069887
Zanya,200.602033114256
PudgyPanda,200.59261113973224
Azzu,199.5401076693729
Graves,198.87086418648653
Nathan,196.78865218131756
Wobl,196.22516508950727
Tai,195.06109553472857
Raikin,194.48524715114067
Conman,194.4129922051552
Axon,193.96034009308295
Kero,191.84222266744808
Touffe,191.41609613027734
Tanooki,191.27095495042585
Mew2King,191.07632567978274
Heartstrings,190.62790538437042
KELLZ,190.13821307192168
Dybloons,189.3644325241201
Ossify,189.01534538031285
tiebex,186.69796692290618
i still love you,186.45767973824042
Knut,185.09899519519865
Velani,184.54384633730155
Syrox,184.2678686048113
Kimchi,183.89897388524201
CardboardBear,181.82737415425075
Question,181.40654684648865
Rick,181.27223278213137
Brand0,180.64522053343194
ycz6,180.10383586109538
Missinglinc,177.72332742009775
Brad,177.11915403776183
Supersponge,175.66672783976517
Son2,174.16568409064024
RedBlaze,173.20181827829174
Shmeeli,172.9784219707219
WAVE,172.92222511565686
John Wick,172.52772937860811
SMET,171.69856617694484
CPU0,171.51092740475164
MT,171.3637018990612
King,170.15761621828688
Ghostsoap,169.3348385675597
Mahie,168.69785481098444
Rikzz,168.46065460763768
Zapp,168.41362620840152
Top Player Yasu,167.72557319647277
FKN Silver,167.57513731060163
Nikstrat,167.10720632272717
Equilateral,163.81248073542162
Blassy,163.3560381168242
Zuraco,163.14124259120638
Luan,162.7920950469587
OG Swaglord,161.34406962071319
NekoKaze,158.92000121335852
MINT,157.8406886478494
bibbit,157.8311284760868
YungSpaceJam,157.06598027715194
lucky_dude_1,155.52288030429688
Jet,155.3788251661796
Wassabi,154.59720158629676
ZHammer,154.2729334378519
Pleasantries,154.0736257201685
nut,153.10246195775602
lynxwynx,152.97386298195656
Reesch,152.97126098550004
kodo,150.15741115674058
SitS,148.51600315674864
Arty,148.45508714454806
.Dempt,145.3010490549347
Arpy,144.20907157129685
IMDRR,143.31537900125065
Weeg,143.23459587667344
Stiv,142.95274775737414
Adust,142.61914757146457
skullbro,142.55015373942078
SmashBob SquarePants,142.38706941257726
geg :),142.3218652720642
Ivayne,142.1499171168893
E-tie,141.70095914617775
Askeflink,140.7480044797444
Flash,140.29476245766176
Px-Hylian,140.22314701595627
Exy-,139.33632419212776
Pelipper,138.38736325073302
C-bass,138.2592656654312
regEx,138.17877513823993
KeyboardMarth,138.15077405453604
TnR~,137.42925487064127
TechDeath,136.35799518255558
Wens,136.24315422499225
Phorox,136.0424570232259
Nickemwit,135.575413538821
Erik Reeds,135.17514696731632
901|Austin,134.401319840638
Umarth,134.2339646977539
Starlord,133.47819089282393
Brazmonkey,133.1631472119796
Gooms,132.49960908041552
jess*,132.08047819798747
LilFrogurt,131.86222829326442
Raptori,130.0718161606376
MordecaiPielord,129.888486478838
Jaywalker,129.5792214119502
Solomon,128.03117063245952
Fat Penguin,127.67999435050585
Meady,127.60150503932681
lexor,127.05612354484828
ronnie,126.45286819613271
Redcoat,126.31042378262566
Bananas,125.89413154494818
Hunybear,124.41545775294588
bobbybigballz,123.88628137038448
Goodie,122.71496621150867
SnooSnoo,122.65020407918291
Frogchip,122.63399251171735
Pickle Nick,122.58875013517077
Sicca,122.25999217444323
